Code,Product & Net Content,MRP(Rs.),DP(Rs.),BV,PV,,,,,,,,,,,,,,,,,,,,
HL2039,Medium - Dark Grey Color (2 N),250,215,108,4,,,,,,,,,,,,,,,,,,,,
HL2040,Large - Dark Grey Color (2 N),250,215,108,4,,,,,,,,,,,,,,,,,,,,
HL2041,Medium - Light Grey Color (2 N),250,215,108,4,,,,,,,,,,,,,,,,,,,,
HL2042,Large - Light Grey Color (2 N),250,215,108,4,,,,,,,,,,,,,,,,,,,,
HL2037,Pack of 2 with 1 Lanyard (2 N) NEW,250,225,113,4.18,,,,,,,,,,,,,,,,,,,,
HL0001,Black (1 N),699,583,349.8,12.96,,,,,,,,,,,,,,,,,,,,
HL0002,Blue (1 N),699,583,349.8,12.96,,,,,,,,,,,,,,,,,,,,
HL0003,Magenta (1 N),699,583,349.8,12.96,,,,,,,,,,,,,,,,,,,,
HL0004,Silver (1 N),699,583,349.8,12.96,,,,,,,,,,,,,,,,,,,,
HL2059,Soch Badlo (1 N),699,583,349.8,12.96,,,,,,,,,,,,,,,,,,,,
HL2023,Family Pack (4 N),2299,1916,1149.5,42.57,,,,,,,,,,,,,,,,,,,,
HL2021,Modicare Enviroglobe Silver (1 N),4500,3750,2250,83.33,,,,,,,,,,,,,,,,,,,,
HL2022,Modicare Enviroglobe Rose Gold (1 N),4500,3750,2250,83.33,,,,,,,,,,,,,,,,,,,,
FP0003,Fruit of the Earth C.T.C & Long Leaf Tea (250g),199,140,56,2.07,,,,,,,,,,,,,,,,,,,,
FP0002,Fruit of the Earth Power Green Tea (2g x 25 N),205,178,71.2,2.64,,,,,,,,,,,,,,,,,,,,
FP0006,Fruit of the Earth Coconut Oil (500ml),235,204,40.8,1.51,,,,,,,,,,,,,,,,,,,,
FP3008,Fruit of the Earth 100% Pure Instant Coffee (50g),155,135,54,2,,,,,,,,,,,,,,,,,,,,
FP3009,Fruit of the Earth Instant Blended Coffee (50g),155,135,54,2,,,,,,,,,,,,,,,,,,,,
FP0005,Soul Flavours Cardamom Seeds (5g),55,50,30,1.11,,,,,,,,,,,,,,,,,,,,
FP3050,Soul Flavours Active Rice Bran Oil Pouch (1L),205,185,37,1.37,,,,,,,,,,,,,,,,,,,,
FP3072,Soul Flavours Active Rice Bran Oil (5L),999,899,179.8,6.66,,,,,,,,,,,,,,,,,,,,
606000,Soul Flavours Active Rice Bran Oil Dispenser (1 N),150,125,50,1.85,,,,,,,,,,,,,,,,,,,,
FP3071,Soul Flavours Kachi Ghani Cold Pressed Mustard Oil (5L),999,899,89.9,3.33,,,,,,,,,,,,,,,,,,,,
FP3007,Soul Flavours Penne Rigate (Pasta) (500g),185,161,64.4,2.39,,,,,,,,,,,,,,,,,,,,
FP0016,Soul Flavours Cow Ghee (1L),670,615,61.5,2.28,,,,,,,,,,,,,,,,,,,,
FP0010,Soul Flavours Pure Honey (500g),330,300,120,4.44,,,,,,,,,,,,,,,,,,,,
FP0011,Soul Flavours Pure Honey with Tulsi (500g),395,359,143.6,5.32,,,,,,,,,,,,,,,,,,,,
FP0012,Soul Flavours Pure Honey with Ginger (500g),395,359,143.6,5.32,,,,,,,,,,,,,,,,,,,,
FP0013,Soul Flavours All Natural Stevia Powder (200g),465,423,169.2,6.27,,,,,,,,,,,,,,,,,,,,
FP0026,Soul Flavours Shahi Mukhwas (75g),175,160,64,2.37,,,,,,,,,,,,,,,,,,,,
FP0008,Soul Flavours Amla Candy Sweet (500g),265,250,100,3.7,,,,,,,,,,,,,,,,,,,,
FP0009,Soul Flavours Chatpata Amla Candy (500g),265,250,100,3.7,,,,,,,,,,,,,,,,,,,,
FP0027,Soul Flavours Shahi Pan (75g),220,200,80,2.96,,,,,,,,,,,,,,,,,,,,
FP3030,Soul Flavours Haldi Powder (100g),33,30.5,7.63,0.28,,,,,,,,,,,,,,,,,,,,
FP3053,Soul Flavours Haldi Powder (200g),62,57,14.25,0.53,,,,,,,,,,,,,,,,,,,,
FP3023,Soul Flavours Lal Mirch Powder (100g),49,47,11.77,0.44,,,,,,,,,,,,,,,,,,,,
FP3054,Soul Flavours Lal Mirch Powder (200g),96,92,23,0.85,,,,,,,,,,,,,,,,,,,,
FP3025,Soul Flavours Jeera Powder (100g),67,63.5,15.88,0.59,,,,,,,,,,,,,,,,,,,,
FP3027,Soul Flavours Dhania Powder (100g),33,30.5,7.63,0.28,,,,,,,,,,,,,,,,,,,,
FP3055,Soul Flavours Dhania Powder (200g),62,57,14.25,0.53,,,,,,,,,,,,,,,,,,,,
FP3034,Soul Flavours Garam Masala (100g),72,68.5,17.13,0.63,,,,,,,,,,,,,,,,,,,,
FP3029,Soul Flavours Kali Mirch Powder (100g),160,152,38,1.41,,,,,,,,,,,,,,,,,,,,
FP0032,Soul Flavours Quinoa (500g),225,200,100,3.7,,,,,,,,,,,,,,,,,,,,
FP3044,Soul Pops Kaccha Aam (50 N),50,47,9.4,0.35,,,,,,,,,,,,,,,,,,,,
FP3051,Soul Pops Chatpata Orange Candy (50 N),50,47,9.4,0.35,,,,,,,,,,,,,,,,,,,,
FP3052,Soul Pops Gazab Guava Candy (50 N),50,47,9.4,0.35,,,,,,,,,,,,,,,,,,,,
FP3057,Soul Pops Masala Soda Candy (50 N),50,47,9.4,0.35,,,,,,,,,,,,,,,,,,,,
FP3058,Soul Pops Fruit Chaat Candy (50 N),50,47,9.4,0.35,,,,,,,,,,,,,,,,,,,,
FP0028,Soul Pops Strawberry & Mango Assorted Lollipops (12 N),108,98,58.8,2.18,,,,,,,,,,,,,,,,,,,,
FP0033,Soul Flavours Strong CTC Tea (250g) NEW,125,99,24.75,0.92,,,,,,,,,,,,,,,,,,,,
AB0007,Rose (84 N),65,50,15,0.56,,,,,,,,,,,,,,,,,,,,
AB0008,Lavender (84 N),65,50,15,0.56,,,,,,,,,,,,,,,,,,,,
AB0009,Sandal (84 N),65,50,15,0.56,,,,,,,,,,,,,,,,,,,,
AB0010,Champa (84 N),65,50,15,0.56,,,,,,,,,,,,,,,,,,,,
AB0011,Jasmine (84 N),65,50,15,0.56,,,,,,,,,,,,,,,,,,,,
AB0012,Kewda (84 N),65,50,15,0.56,,,,,,,,,,,,,,,,,,,,
HC3030,Mighty In-One Multipurpose Cleaner (250ml),130,113,56.5,2.09,,,,,,,,,,,,,,,,,,,,
HC3031,Mighty In-One Shine & Protect (250ml),350,304,152,5.63,,,,,,,,,,,,,,,,,,,,
HC0010,SteriClean - Disinfectant Cleaner (1000ml),350,304,152,5.63,,,,,,,,,,,,,,,,,,,,
HC0002,Duz All Advanced Concentrated Multi Purpose Cleaner (250ml),125,109,54.5,2.02,,,,,,,,,,,,,,,,,,,,
HC2025,Duz All Advanced Concentrated Multi Purpose Cleaner (Biosafe Formula) (500ml),260,226,113,4.19,,,,,,,,,,,,,,,,,,,,
